latent_dim,intermediate_dim,batch_size,epochs,contamination,precision,recall,f1_score,auc,training_time
8,64,128,20,0.01,0.8860294117647058,0.06455357142857143,0.12033954727030625,0.7710551259566327,16.242634534835815
8,64,128,20,0.05,0.8552299140980293,0.30223214285714284,0.44662884285525795,0.784850605867347,15.913872241973877
8,64,128,20,0.1,0.7979044574675901,0.40116071428571426,0.5338957875349059,0.7736001674107142,15.677062511444092
8,64,128,30,0.01,0.8859857482185273,0.06660714285714285,0.12389968443780103,0.7845634486607144,23.291609048843384
8,64,128,30,0.05,0.8527327935222672,0.30089285714285713,0.4448257655755016,0.7902577566964286,26.391457319259644
8,64,128,30,0.1,0.7915200888724311,0.38169642857142855,0.5150292151075236,0.7728910953443877,24.760029315948486
8,64,256,20,0.01,0.8854415274463007,0.06625,0.12327629174281442,0.7797016501913265,11.476171493530273
8,64,256,20,0.05,0.857356608478803,0.3069642857142857,0.45207100591715976,0.7849249441964286,11.24427580833435
8,64,256,20,0.1,0.8003499562554681,0.40839285714285717,0.5408217558380136,0.7868149394132652,11.31031346321106
8,64,256,30,0.01,0.8814993954050786,0.06508928571428571,0.12122723871289598,0.7659743383290817,16.374632596969604
8,64,256,30,0.05,0.8581630140359517,0.3111607142857143,0.45671974313609853,0.7840087292729593,31.71570658683777
8,64,256,30,0.1,0.7966257106180085,0.38785714285714284,0.521707800396325,0.7829391023596939,14.594283103942871
8,128,128,20,0.01,0.8788627935723115,0.06348214285714286,0.11841119160629528,0.7850663504464286,14.714752197265625
8,128,128,20,0.05,0.847021779060614,0.2882142857142857,0.43008460462327625,0.7879478236607143,21.030418872833252
8,128,128,20,0.1,0.8019697502638058,0.40714285714285714,0.5400923842236172,0.7704542410714286,21.974902629852295
8,128,128,30,0.01,0.8860606060606061,0.06526785714285714,0.12158004158004158,0.7869448182397959,34.41593861579895
8,128,128,30,0.05,0.8394080570019183,0.27348214285714284,0.41255303387433495,0.7847403220663266,30.819416284561157
8,128,128,30,0.1,0.8033450704225352,0.4074107142857143,0.5406398104265403,0.7880205038265305,21.902884244918823
8,128,256,20,0.01,0.8869047619047619,0.06651785714285714,0.12375415282392027,0.7857027184311225,9.833974599838257
8,128,256,20,0.05,0.8420333424432905,0.2750892857142857,0.4146981627296588,0.7657126195790817,10.613972187042236
8,128,256,20,0.1,0.7961971570980247,0.3850892857142857,0.5191069386772582,0.7845971141581632,12.492647171020508
8,128,256,30,0.01,0.8870588235294118,0.06732142857142857,0.12514522821576762,0.7777079559948981,15.548197507858276
8,128,256,30,0.05,0.8580947680157947,0.31044642857142857,0.45594020456333595,0.7727854751275509,14.052553176879883
8,128,256,30,0.1,0.7970187707029812,0.38669642857142855,0.5207406516772874,0.7834813855229591,16.60217261314392
8,256,128,20,0.01,0.8814180929095354,0.064375,0.1199866866367116,0.7810120615433673,20.45462703704834
8,256,128,20,0.05,0.8594054580896686,0.31491071428571427,0.46092524830109777,0.7851827726403061,32.664626598358154
8,256,128,20,0.1,0.8022113022113022,0.408125,0.5410107705053853,0.786465983737245,30.35353922843933
8,256,128,30,0.01,0.8827085852478839,0.06517857142857143,0.12139353122141848,0.7874180723852041,29.510605812072754
8,256,128,30,0.05,0.8597812879708384,0.31589285714285714,0.46203068886712373,0.7865320153061224,34.97179317474365
8,256,128,30,0.1,0.8054174524258529,0.41946428571428573,0.5516350613514942,0.7927537946428571,32.6904616355896
8,256,256,20,0.01,0.8872727272727273,0.06535714285714286,0.12174636174636175,0.784045846619898,13.926999568939209
8,256,256,20,0.05,0.8587974371611631,0.3111607142857143,0.45680954253506356,0.7888575494260204,19.394333600997925
8,256,256,20,0.1,0.7967104047311033,0.3849107142857143,0.519053639154777,0.7807366709183674,52.71291136741638
8,256,256,30,0.01,0.8836363636363637,0.06508928571428571,0.12124740124740124,0.7703749681122448,40.70268797874451
8,256,256,30,0.05,0.8570004982561036,0.30714285714285716,0.45221506507164455,0.7831557955994898,20.40539574623108
8,256,256,30,0.1,0.7964912280701755,0.3850892857142857,0.5191694252181763,0.7717966916454082,19.7315354347229
16,64,128,20,0.01,0.8938428874734607,0.07517857142857143,0.13869214297479823,0.7908714445153061,14.218952178955078
16,64,128,20,0.05,0.8578779710855182,0.31258928571428574,0.4582160853347294,0.7787007573341835,21.4142644405365
16,64,128,20,0.1,0.8024027254796485,0.39955357142857145,0.5334684389342552,0.7695223931760206,23.34775447845459
16,64,128,30,0.01,0.8900862068965517,0.07375,0.13621372031662268,0.7905284917091837,26.0825457572937
16,64,128,30,0.05,0.8572846860263093,0.30839285714285714,0.4536082474226804,0.7815784199617347,27.184327363967896
16,64,128,30,0.1,0.8064516129032258,0.40848214285714285,0.5422864932140106,0.7932039540816326,28.756921768188477
16,64,256,20,0.01,0.8776529338327091,0.06276785714285714,0.11715690359136739,0.7632020328443877,13.718726873397827
16,64,256,20,0.05,0.8220897395669909,0.23392857142857143,0.36421769653159103,0.7709107700892858,10.462539434432983
16,64,256,20,0.1,0.7947241315251719,0.3819642857142857,0.5159500693481276,0.7661851961096938,9.594088077545166
16,64,256,30,0.01,0.8871733966745843,0.06669642857142857,0.12406576980568013,0.7896320790816326,14.339685201644897
16,64,256,30,0.05,0.8352842809364549,0.2675892857142857,0.4053286448471734,0.7783736926020408,14.060579299926758
16,64,256,30,0.1,0.8012924071082391,0.3985714285714286,0.532347504621072,0.7778765545280611,17.05060386657715
16,128,128,20,0.01,0.8798017348203222,0.06339285714285714,0.11826434579828433,0.7869306999362244,13.870453834533691
16,128,128,20,0.05,0.8590405904059041,0.3117857142857143,0.45751719620045855,0.7850825733418367,15.180732727050781
16,128,128,20,0.1,0.8020098730606487,0.40616071428571426,0.5392366050260787,0.7840527503188774,20.37742567062378
16,128,128,30,0.01,0.8847087378640777,0.06508928571428571,0.12125748502994012,0.7831574856505102,23.073938131332397
16,128,128,30,0.05,0.8542864283929018,0.3051785714285714,0.44970725610157225,0.786297018494898,22.5414822101593
16,128,128,30,0.1,0.7966820276497696,0.38589285714285715,0.5199398496240601,0.7884450494260203,21.10495376586914
16,128,256,20,0.01,0.8822085889570552,0.06419642857142857,0.11968372867249272,0.770941446109694,11.156764030456543
16,128,256,20,0.05,0.8578934200650488,0.3061607142857143,0.451273277620583,0.781080540497449,10.461699724197388
16,128,256,20,0.1,0.7927031509121062,0.38410714285714287,0.5174715823660312,0.782968072385204,10.155320882797241
16,128,256,30,0.01,0.8817073170731707,0.06455357142857143,0.12029950083194675,0.7856395408163266,15.178641080856323
16,128,256,30,0.05,0.8363078639152258,0.26776785714285717,0.40565399702421207,0.7692423628826531,14.516894102096558
16,128,256,30,0.1,0.7966759002770083,0.3851785714285714,0.5192897983749624,0.7840445312500001,14.179059267044067
16,256,128,20,0.01,0.8854041013268998,0.06553571428571428,0.12203840718264194,0.7808342474489797,23.237586736679077
16,256,128,20,0.05,0.8568926695021266,0.30580357142857145,0.4507468579324867,0.7923303810586735,20.779678344726562
16,256,128,20,0.1,0.7990825688073394,0.3888392857142857,0.5231231231231231,0.785011615114796,19.735976696014404
16,256,128,30,0.01,0.8798543689320388,0.06473214285714286,0.1205921490352628,0.7893731345663266,31.21406078338623
16,256,128,30,0.05,0.8582290900171695,0.31241071428571426,0.45807422923348823,0.7898755580357144,37.328447580337524
16,256,128,30,0.1,0.8058570198105082,0.41767857142857145,0.5501911202587474,0.7887908880739796,28.867040157318115
16,256,256,20,0.01,0.8812729498164015,0.06428571428571428,0.11983024049263544,0.7682172512755101,15.122503519058228
16,256,256,20,0.05,0.8417462482946794,0.2754464285714286,0.4150689539186007,0.783676100127551,18.689597606658936
16,256,256,20,0.1,0.803027635979581,0.40732142857142856,0.5404893075054795,0.7838393335459185,13.461332082748413
16,256,256,30,0.01,0.8848039215686274,0.06446428571428571,0.12017310252996005,0.7864126434948979,21.798734426498413
